,tweet_id,favorite_count,retweet_count
1991-03-31 16:10:21.946826752,670435821946826752,1098,562
1991-03-31 17:58:57.873600512,670442337873600512,679,207
1991-03-31 18:42:35.656130560,670444955656130560,7030,2112
1991-03-31 19:55:42.516494336,670449342516494336,1244,720
1991-03-31 20:54:15.871037440,670452855871037440,573,222
1991-04-01 00:29:46.746662913,670465786746662912,1016,595
1991-04-01 01:16:49.693655041,670468609693655040,367,90
1991-04-01 02:50:36.058800128,670474236058800128,1601,820
1991-04-03 08:46:23.499735048,670668383499735040,11258,5425
1991-04-03 10:54:52.097810432,670676092097810432,261,45
1991-04-03 11:53:50.144274432,670679630144274432,787,312
1991-04-03 15:13:47.984359425,670691627984359424,616,258
1991-04-03 18:51:28.707301377,670704688707301376,795,399
1991-04-03 22:22:18.665226240,670717338665226240,1276,535
1991-04-04 01:15:04.916926465,670727704916926464,870,393
1991-04-04 02:50:12.878163972,670733412878163968,1007,542
1991-04-04 09:01:57.859713024,670755717859713024,467,121
1991-04-04 11:21:43.623966721,670764103623966720,1127,456
1991-04-04 15:14:18.496974848,670778058496974848,340,77
1991-04-04 15:56:01.024270336,670780561024270336,811,309
1991-04-04 16:27:09.121134593,670782429121134592,1657,845
1991-04-04 16:43:57.142401025,670783437142401024,857,422
1991-04-04 17:29:50.031921152,670786190031921152,630,216
1991-04-04 18:23:17.210615808,670789397210615808,691,254
1991-04-04 19:18:00.469889025,670792680469889024,873,295
1991-04-04 20:35:04.698376195,670797304698376192,760,256
1991-04-04 22:19:22.457407488,670803562457407488,352,93
1991-04-04 22:36:41.705242624,670804601705242624,2065,1011
1991-04-04 23:28:39.151067136,670807719151067136,1200,525
1991-04-05 00:39:25.569282048,670811965569282048,1180,289
1991-04-05 01:38:17.391357952,670815497391357952,3340,1668
1991-04-05 03:38:29.593571328,670822709593571328,635,104
1991-04-05 03:56:04.196741120,670823764196741120,810,203
1991-04-05 04:38:00.409919488,670826280409919488,5838,4386
1991-04-05 06:20:55.012716544,670832455012716544,768,237
1991-04-05 06:43:32.859932673,670833812859932672,465,133
1991-04-05 07:56:42.509447168,670838202509447168,1166,744
1991-04-05 08:35:46.554966016,670840546554966016,620,210
1991-04-05 09:12:44.863651840,670842764863651840,25732,9422
1991-04-07 03:46:09.505435648,670995969505435648,1155,312
1991-04-08 11:10:16.219725825,671109016219725824,1203,472
1991-04-08 13:01:56.440031232,671115716440031232,1410,826
