Year,Origin,DepDelay,ArrDelay,TotalDelay
1988,IDA,2.818905007,2.695367337,5.514272344
1988,ILM,4.502589261,6.526301445,11.02889071
1988,IND,5.651083792,7.301412704,12.9524965
1988,ISO,3.876150035,3.571125265,7.447275301
1988,ISP,6.050087755,8.435398947,14.4854867
1988,ITH,2.617608977,3.302977989,5.920586966
1988,JAC,3.765803733,5.140878989,8.906682721
1988,JAN,3.656986358,4.679826375,8.336812733
1988,JAX,4.695042251,4.763143654,9.458185905
1988,JFK,11.34240885,11.50332703,22.84573588
1988,JNU,8.97347561,11.53170732,20.50518293
1988,KOA,4.199341021,6.088962109,10.28830313
1988,KTN,7.615066605,9.622875517,17.23794212
1988,LAN,2.831395349,4.666768666,7.498164015
1988,LAS,4.746641874,4.196200599,8.942842473
1988,LAX,6.234381962,2.939868699,9.174250661
1988,LBB,3.072049689,2.526604555,5.598654244
1988,LEX,3.629678822,4.589833374,8.219512195
1988,LFT,3.054530201,2.639261745,5.693791946
1988,LGA,6.786964098,6.656133862,13.44309796
1988,LGB,7.046952224,7.335843728,14.38279595
1988,LIH,-1.90619469,-1.182300885,-3.088495575
1988,LIT,3.681118694,4.040545965,7.721664659
1988,LNK,5.479352997,6.074785918,11.55413892
1988,LSE,2.214117647,4.755882353,6.97
1988,LYH,6.075356415,7.39646979,13.47182621
1988,MAF,3.037750218,0.494016536,3.531766754
1988,MBS,2.401447178,3.964109986,6.365557164
1988,MCI,6.793963728,7.535324371,14.3292881
1988,MCO,6.820330181,8.754960359,15.57529054
1988,MDT,5.544512195,7.715853659,13.26036585
1988,MDW,7.422484896,10.5452062,17.9676911
1988,MEM,5.966884983,7.404188396,13.37107338
1988,MFE,6.387096774,7.91218638,14.29928315
1988,MFR,9.665413534,7.203007519,16.86842105
1988,MGM,4.692026951,6.626895003,11.31892195
1988,MHT,7.502710517,9.279363932,16.78207445
1988,MIA,8.472731842,7.600220603,16.07295244
1988,MKE,4.523100571,5.493675889,10.01677646
1988,MLB,5.325438782,7.66779446,12.99323324
1988,MLI,3.696840938,5.389063366,9.085904304
1988,MLU,5.546756864,6.787107043,12.33386391
1988,MOB,4.185667341,5.692113246,9.877780586
1988,MOT,1.556689952,-0.77485223,0.781837722
1988,MRY,3.504612916,2.692338548,6.196951464
1988,MSN,3.91024462,4.996137576,8.906382196
1988,MSO,4.329892966,4.565366972,8.895259939
1988,MSP,7.665335753,9.022942244,16.688278
1988,MSY,5.77452019,5.836532065,11.61105226
1988,MYR,4.723535733,6.193444385,10.91698012
1988,OAJ,4.175576815,4.32301632,8.498593134
1988,OAK,4.477680003,4.263137269,8.740817272
1988,OGG,3.014240046,4.414414414,7.428654461
1988,OKC,4.343766054,4.695435685,9.039201739
1988,OMA,4.121254472,5.010062612,9.131317084
1988,OME,3.88981289,6.496881497,10.38669439
1988,ONT,5.270197748,5.319139007,10.58933676
1988,ORD,9.351092004,8.857142857,18.20823486
1988,ORF,5.692333608,7.94778019,13.6401138
1988,ORH,5.068448023,7.757686676,12.8261347
1988,OTZ,4.177676538,6.802961276,10.98063781
1988,PBI,6.642544031,7.203483366,13.8460274
1988,PDX,6.292418028,7.059205944,13.35162397
1988,PFN,2.29957204,6.19828816,8.4978602
1988,PHF,4.203564728,6.663227017,10.86679174
1988,PHL,8.36060302,8.034563633,16.39516665
1988,PHX,5.990770326,5.998708673,11.989479
1988,PIA,2.335673261,4.966177409,7.30185067
1988,PIE,-1.148684211,-2.072368421,-3.221052632
1988,PIT,8.449946961,10.28847865,18.73842561
1988,PNS,5.91010433,7.144204659,13.05430899
1988,PSC,3.382860041,1.990365112,5.373225152
1988,PSG,7.696343402,10.65341812,18.34976153
1988,PSP,7.942246835,8.72409019,16.66633703
1988,PUB,1.961480363,0.253021148,2.214501511
1988,PVD,5.645898484,8.208884612,13.8547831
1988,PWM,6.784920523,7.973695316,14.75861584
1988,RAP,0.968738507,0.780433983,1.74917249
1988,RDD,22.36842105,25,47.36842105
1988,RDM,7.510917031,6.333333333,13.84425036
1988,RDU,5.216684042,4.670754108,9.887438151
1988,RIC,5.359771102,7.645436338,13.00520744
1988,RNO,6.030040918,5.957269384,11.9873103
1988,ROA,4.804315317,7.446913053,12.25122837
1988,ROC,5.031823204,5.242254144,10.27407735
1988,ROP,177,178,355
1988,ROR,14.16208791,13.56868132,27.73076923
1988,RST,4.210506844,5.769885313,9.980392157
1988,RSW,4.775709977,5.588868021,10.364578
1988,SAN,6.648725679,6.553979472,13.20270515
1988,SAT,4.05803717,2.490915019,6.548952189
1988,SAV,3.366229904,3.427841279,6.794071183
1988,SBA,7.392162913,8.7630361,16.15519901
1988,SBN,4.53622106,5.966019417,10.50224048
1988,SCC,2.229205176,5.776340111,8.005545287
1988,SCK,4.271684588,-0.205734767,4.065949821
1988,SDF,4.41342259,6.210676672,10.62409926
1988,SEA,6.59625039,6.597384916,13.19363531
1988,SFO,8.425619105,7.577864921,16.00348403
1988,SGF,4.624474348,6.079478553,10.7039529
1988,SHV,3.854967949,5.00894765,8.863915598
1988,SIT,8.356772761,10.70836417,19.06513694
1988,SJC,4.126551679,3.289015201,7.41556688
1988,SJU,6.959995294,4.164313449,11.12430874
1988,SLC,5.278801296,5.544483404,10.8232847
1988,SMF,3.569112565,2.83810014,6.407212705
1988,SNA,7.373794212,7.199021972,14.57281618
1988,SPN,9.197231834,8.984429066,18.1816609
