Year,Dest,DepDelay,ArrDelay,TotalDelay
1988,BET,3.403539823,5.249557522,8.653097345
1988,BFL,6.345439871,2.962066182,9.307506053
1988,BGM,4.739067756,6.487265738,11.22633349
1988,BGR,7.525536993,6.8424821,14.36801909
1988,BHM,5.601344279,5.6328026,11.23414688
1988,BIL,4.816546763,3.616088947,8.43263571
1988,BIS,4.269813665,1.311801242,5.581614907
1988,BLI,5.233663366,3.84950495,9.083168317
1988,BNA,4.069877414,4.008293623,8.078171038
1988,BOI,7.084491813,6.628359592,13.71285141
1988,BOS,8.924903295,7.889001755,16.81390505
1988,BTM,4.871156662,5.0761347,9.947291362
1988,BTR,5.540568897,5.376544649,10.91711355
1988,BTV,7.922195416,6.032870929,13.95506634
1988,BUF,7.500073904,6.621166211,14.12124012
1988,BUR,5.618995538,4.580890717,10.19988625
1988,BWI,6.789270997,7.402817112,14.19208811
1988,BZN,6.04817895,5.48924577,11.53742472
1988,CAE,6.038147401,6.871528779,12.90967618
1988,CAK,9.320111874,9.606153064,18.92626494
1988,CCR,4.709911362,0.950846092,5.660757454
1988,CDV,7.35,10.39375,17.74375
1988,CHA,4.258019802,3.934455446,8.192475248
1988,CHO,5.406674208,7.585972851,12.99264706
1988,CHS,5.941614907,7.126488856,13.06810376
1988,CID,4.732325296,5.990396404,10.7227217
1988,CLE,6.525480454,6.978297623,13.50377808
1988,CLT,6.181956929,7.369404279,13.55136121
1988,CMH,7.09179002,7.435373112,14.52716313
1988,CMI,5.486976744,8.050232558,13.5372093
1988,COS,5.169837223,2.822612277,7.9924495
1988,CPR,2.137702504,2.550073638,4.687776141
1988,CRP,6.512318977,2.50517209,9.017491066
1988,CRW,7.451082251,8.572727273,16.02380952
1988,CSG,4.496482412,5.654271357,10.15075377
1988,CVG,4.775444423,6.539363157,11.31480758
1988,CWA,4.678347935,7.187108886,11.86545682
1988,DAB,6.4,6.215852682,12.61585268
1988,DAL,4.123212199,1.104847237,5.228059436
1988,DAY,6.869732128,8.527953137,15.39768526
1988,DCA,6.112064319,7.452971064,13.56503538
1988,DEN,7.464150757,7.492773253,14.95692401
1988,DET,10.2584328,13.67047224,23.92890503
1988,DFW,4.286423447,4.148095787,8.434519234
1988,DLH,7.389984825,7.952200303,15.34218513
1988,DRO,3.776183644,3.776183644,7.552367288
1988,DSM,6.217649749,6.061728395,12.27937814
1988,DTW,6.006896928,7.609013321,13.61591025
1988,EAU,3.258014073,2.795934324,6.053948397
1988,ELM,6.714125978,9.018635855,15.73276183
1988,ELP,5.815203982,2.351725018,8.166929
1988,ERI,10.52159624,11.98685446,22.5084507
1988,EUG,9.93433613,10.35522129,20.28955742
1988,EVV,8.777380952,11.22380952,20.00119048
1988,EWR,8.900283222,10.64794119,19.54822442
1988,EYW,4.448022079,5.53173873,9.97976081
1988,FAI,8.487306682,9.327108258,17.81441494
1988,FAR,8.403097983,6.384005764,14.78710375
1988,FAT,5.861378934,4.568673822,10.43005276
1988,FAY,6.932706223,9.647129764,16.57983599
1988,FCA,4.129395218,5.679324895,9.808720113
1988,FLG,3.443467839,5.068717539,8.512185378
1988,FLL,8.249576641,8.295196798,16.54477344
1988,FNT,9.401526718,10.75877863,20.16030534
1988,FSD,6.042583905,6.224648141,12.26723205
1988,FWA,6.880239521,6.443113772,13.32335329
1988,GCN,3.833239753,6.617630545,10.4508703
1988,GEG,6.2090461,7.082149415,13.29119552
1988,GFK,6.727897839,8.847740668,15.57563851
1988,GJT,5.978191731,-1.196274421,4.78191731
1988,GNV,4.001590457,3.079125249,7.080715706
1988,GPT,4.411654135,6.762218045,11.17387218
1988,GRB,6.16710642,8.338610378,14.5057168
1988,GRR,8.317107232,9.372069825,17.68917706
1988,GSO,8.168270359,8.144379254,16.31264961
1988,GSP,5.572774981,6.270001071,11.84277605
1988,GST,9.626506024,9.421686747,19.04819277
1988,GTF,4.784370099,3.635128071,8.41949817
1988,GUC,7.591240876,8.481751825,16.0729927
1988,GUM,10.62834821,8.181919643,18.81026786
1988,HDN,8.444174757,3.701456311,12.14563107
1988,HLN,3.536812675,4.828518173,8.365330848
1988,HNL,11.1167869,2.676350166,13.79313706
1988,HOU,5.935003349,3.938317526,9.873320876
1988,HPN,5.814423077,9.399038462,15.21346154
1988,HRL,7.125811437,2.328438949,9.454250386
1988,HSV,6.033133991,4.390011314,10.4231453
1988,HTS,6.297188755,6.5243195,12.82150826
1988,IAD,5.348795807,4.080632901,9.429428709
1988,IAH,5.872434837,5.866925998,11.73936083
1988,ICT,6.024111015,4.09366869,10.11777971
1988,IDA,5.537771483,6.058545798,11.59631728
1988,ILM,6.473626374,6.466758242,12.94038462
1988,IND,6.380396223,6.776810566,13.15720679
1988,ISO,5.176512456,6.16797153,11.34448399
1988,ISP,7.233379121,9.832142857,17.06552198
1988,ITH,4.721011334,6.06277245,10.78378378
1988,JAC,5.567209162,5.623869801,11.19107896
1988,JAN,5.200668198,4.741595323,9.942263521
1988,JAX,6.785502708,6.386594448,13.17209716
1988,JFK,8.129569013,9.202108176,17.33167719
1988,JNU,6.026612398,8.372886662,14.39949906
1988,KOA,7.740066225,2.283112583,10.02317881
1988,KTN,8.247791725,10.48768015,18.73547187
1988,LAN,4.695666132,6.275441413,10.97110754
1988,LAS,6.095341611,4.661719828,10.75706144
1988,LAX,6.677111725,4.829702206,11.50681393
1988,LBB,4.524490225,3.113306706,7.637796931
1988,LEX,5.073188672,6.437538311,11.51072698
1988,LFT,4.793193717,-2.732111693,2.061082024
1988,LGA,7.576512646,8.914424882,16.49093753
1988,LGB,7.211615803,7.869765791,15.08138159
1988,LIH,-0.559082892,-0.844797178,-1.403880071
1988,LIT,5.510279101,4.872021784,10.38230088
1988,LNK,5.996537796,5.124254664,11.12079246
1988,LSE,0.7,2.237278107,2.937278107
1988,LYH,6.759208731,9.927012278,16.68622101
1988,MAF,4.954743061,2.349459369,7.30420243
1988,MBS,7.388055222,7.62695078,15.015006
1988,MCI,7.019585123,6.086678936,13.10626406
1988,MCO,7.631154605,8.831646696,16.4628013
1988,MDT,8.131042059,8.740897677,16.87193974
1988,MDW,7.814869888,7.128730749,14.94360064
1988,MEM,4.058786625,6.358366148,10.41715277
1988,MFE,8.704448507,1.587446679,10.29189519
1988,MFR,8.552358491,9.493396226,18.04575472
1988,MGM,4.372316384,5.445480226,9.81779661
1988,MHT,7.034457744,4.647442873,11.68190062
1988,MIA,8.494412443,7.120246433,15.61465888
1988,MKE,6.411486667,5.879514849,12.29100152
