Year,Carrier,DepDelay,ArrDelay,TotalDelay
2005,CO,7.885464914,8.572699305,16.45816422
2005,DH,6.550200021,6.01011342,12.56031344
2005,DL,8.122590878,7.913180111,16.03577099
2005,EV,13.22172481,9.955839071,23.17756388
2005,F9,5.653393443,3.507545177,9.16093862
2005,FL,15.19292558,14.36639337,29.55931895
2005,HA,-1.115875457,-2.305724144,-3.421599601
2005,HP,6.639688397,3.346212587,9.985900984
2005,MQ,7.585029212,7.657973889,15.2430031
2005,NW,7.795005711,8.825350087,16.6203558
2005,OH,6.622955791,3.409673035,10.03262883
2005,OO,5.773139145,3.849618736,9.622757881
2005,TZ,4.531845088,4.632129583,9.163974671
2005,UA,9.597287903,7.560357937,17.15764584
2005,US,8.383281988,6.640204005,15.02348599
2005,WN,10.11000481,5.335491017,15.44549582
2005,XE,6.816704257,8.892236261,15.70894052
2006,AA,10.66023341,9.598266138,20.25849955
2006,AQ,-0.137898172,-0.645941029,-0.783839201
2006,AS,9.241138015,9.128422896,18.36956091
2006,B6,11.28166467,10.9096036,22.19126827
2006,CO,10.98964074,11.31139747,22.30103821
2006,DL,8.075289727,7.012210449,15.08750018
2006,EV,16.44480306,14.55965829,31.00446135
2006,F9,5.065720436,4.652753487,9.718473923
2006,FL,10.94795311,9.444732602,20.39268572
2006,HA,-1.227361162,-1.031995839,-2.259357001
2006,MQ,11.4066369,10.89067343,22.29731033
2006,NW,6.980419836,8.053051851,15.03347169
2006,OH,9.340723221,8.880031043,18.22075426
2006,OO,8.82248866,8.199264905,17.02175357
2006,TZ,12.80955332,15.77072037,28.58027369
2006,UA,11.86167078,10.50245763,22.36412841
2006,US,7.857690131,6.629121397,14.48681153
2006,WN,10.26644357,5.043475345,15.30991892
2006,XE,9.845864802,10.72233002,20.56819483
2006,YV,14.21797579,11.62714632,25.84512211
2007,9E,9.083134148,8.138337077,17.22147123
2007,AA,14.67027024,14.44186884,29.11213907
2007,AQ,0.427921753,-1.376895794,-0.948974041
2007,AS,10.58247997,9.262787752,19.84526772
2007,B6,14.69501272,13.43993565,28.13494837
2007,CO,11.76167363,10.26946337,22.031137
2007,DL,7.821708522,7.303038715,15.12474724
2007,EV,20.27187049,17.19572911,37.46759961
2007,F9,7.402167654,7.431885489,14.83405314
2007,FL,8.997148563,7.937922569,16.93507113
2007,HA,-0.895021007,-0.430517565,-1.325538572
2007,MQ,13.13585107,12.99279356,26.12864463
2007,NW,8.898677416,12.5591418,21.45781921
2007,OH,12.56882181,13.13505085,25.70387266
2007,OO,8.289266407,8.838887164,17.12815357
2007,UA,13.87883837,12.75312205,26.63196043
2007,US,12.09732686,11.52726864,23.6245955
2007,WN,10.39477405,5.472958396,15.86773245
2007,XE,11.83114574,10.00705178,21.83819751
2007,YV,12.30700851,10.96347648,23.27048499
2008,9E,6.733861011,4.111134703,10.84499571
2008,AA,13.22851995,12.60719404,25.83571398
2008,AQ,-1.48245614,-2.888673891,-4.371130031
2008,AS,6.717439323,4.804346362,11.52178569
2008,B6,12.57282655,11.08418439,23.65701094
2008,CO,13.13578125,10.97903728,24.11481853
2008,DL,7.975473832,7.855163155,15.83063699
2008,EV,11.92287543,10.20800242,22.13087784
2008,F9,5.903107439,6.108246666,12.01135411
2008,FL,9.22981837,9.091375385,18.32119376
2008,HA,0.439211266,1.264408939,1.703620205
2008,MQ,10.62889968,9.890667946,20.51956762
2008,NW,6.438266833,7.36853913,13.80680596
2008,OH,11.51014972,11.81746768,23.3276174
2008,OO,7.406290431,6.598884737,14.00517517
2008,UA,14.06427934,11.29132219,25.35560152
2008,US,5.687228472,2.848110006,8.535338477
2008,WN,10.32308067,5.179678173,15.50275884
2008,XE,11.3288701,10.6354048,21.9642749
2008,YV,11.95274364,11.77518143,23.72792507
